Sample,Hclust10,Hclust100,Hclust1000,Hclust5000,Hclust10000
S1,7,3,4,2,4
S2,1,8,1,8,3
S3,7,3,8,4,8
S4,7,3,8,4,8
S5,2,4,1,5,3
S6,1,7,1,8,3
S7,1,6,6,3,6
S8,6,1,7,4,8
S9,7,3,4,2,4
S10,7,1,4,2,4
S11,3,5,3,1,1
S12,6,3,4,2,4
S13,7,3,4,2,4
S14,1,7,1,8,3
S15,6,1,4,2,4
S16,5,1,4,2,4
S17,1,6,6,3,6
S18,6,1,7,4,8
S19,1,7,1,8,3
S20,3,5,2,7,2
S21,1,8,6,3,6
S22,5,1,8,4,8
S23,3,5,2,7,2
S24,3,5,3,1,1
S25,7,3,7,4,8
S26,1,8,1,8,3
S27,7,1,7,4,8
S28,1,6,6,3,6
S29,5,2,7,4,8
S30,7,3,6,3,6
S31,5,2,8,4,8
S32,3,8,3,1,1
S33,2,4,3,1,1
S34,4,1,1,5,3
S35,2,4,3,1,1
S36,1,6,6,3,6
S37,2,4,3,1,1
S38,6,1,7,4,8
S39,7,6,6,3,6
S40,1,8,1,8,3
S41,1,6,6,3,6
S42,5,2,5,6,5
S43,4,2,5,5,5
S44,1,6,6,3,6
S45,5,2,7,4,8
S46,1,8,6,3,6
S47,5,2,5,6,5
S48,3,5,3,1,1
S49,6,1,4,2,4
S50,7,3,8,3,6
S51,4,2,5,6,5
S52,3,8,1,8,3
S53,6,1,4,2,4
S54,7,3,4,2,4
S55,3,5,3,1,1
S56,4,7,1,8,3
S57,5,1,8,4,8
S58,6,3,6,3,6
S59,7,1,7,4,8
S60,7,3,8,4,7
S61,7,3,4,2,4
S62,3,8,1,8,3
S63,1,8,2,7,2
H1,7,1,4,2,4
H2,6,1,7,4,8
H3,6,1,7,2,8
H4,7,1,8,4,8
H5,6,1,4,2,4
S64,7,3,4,2,4
S65,5,2,5,5,5
S66,5,1,4,2,4
S67,7,1,7,4,8
