"","x"
"SRR1791304",2
"SRR1791305",8
"SRR1791306",4
"SRR1791307",4
"SRR1791308",5
"SRR1791309",8
"SRR1791310",3
"SRR1791311",4
"SRR1791312",2
"SRR1791313",2
"SRR1791314",1
"SRR1791315",2
"SRR1791316",2
"SRR1791317",8
"SRR1791318",2
"SRR1791319",2
"SRR1791320",3
"SRR1791321",4
"SRR1791322",8
"SRR1791323",7
"SRR1791324",3
"SRR1791325",4
"SRR1791326",7
"SRR1791327",1
"SRR1791328",4
"SRR1791329",8
"SRR1791330",4
"SRR1791331",3
"SRR1791332",4
"SRR1791333",3
"SRR1791334",4
"SRR1791335",1
"SRR1791336",1
"SRR1791337",5
"SRR1791338",1
"SRR1791339",3
"SRR1791340",1
"SRR1791341",4
"SRR1791342",3
"SRR1791343",8
"SRR1791344",3
"SRR1791345",6
"SRR1791346",5
"SRR1791347",3
"SRR1791348",4
"SRR1791349",3
"SRR1791350",6
"SRR1791351",1
"SRR1791352",2
"SRR1791353",3
"SRR1791354",6
"SRR1791355",8
"SRR1791356",2
"SRR1791357",2
"SRR1791358",1
"SRR1791359",8
"SRR1791360",4
"SRR1791361",3
"SRR1791362",4
"SRR1791363",4
"SRR1791364",2
"SRR1791365",8
"SRR1791366",7
"SRR1791367",2
"SRR1791368",4
"SRR1791369",2
"SRR1791370",4
"SRR1791371",2
"SRR1791372",2
"SRR1791373",5
"SRR1791374",2
"SRR1791375",4
